misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss,mean reward,median reward,min_reward,max_reward
20,10080,55,7291.666666666667,1.4209878951311112,0.0033753316849470137,31202.20771852088,7291.666666666667,7945.0,4270,8530
30,14880,54,10448.461538461539,1.422146302461624,-0.0015061559155583383,26545.625534057617,10448.461538461539,8530.0,4270,17130
40,19680,54,10643.684210526315,1.4223856896162033,0.002472901809960604,23306.434941101073,10643.684210526315,8530.0,4270,25120
50,24480,54,10764.782608695652,1.4217726945877076,0.005698080430738628,22358.102160644532,10764.782608695652,8760.0,4240,25120
60,29280,54,10464.23076923077,1.4215649008750915,-0.0014054935425519943,19703.94317703247,10464.23076923077,8645.0,4240,25120
70,34080,53,10468.275862068966,1.4212275579571725,-4.333211109042168e-05,21297.384260559083,10468.275862068966,8760.0,4240,25120
80,38880,54,10208.666666666666,1.4215689465403556,0.0010511294938623905,38341.83979492188,10208.666666666666,8645.0,2680,25120
