-10 -1300 0, 100.0568847764425 -775.3523924344707 0, 177.38644474887997 -137.23655523488833 0
-665.5306349306579 -1480.0524691401238 0, 1224.0568847764425 -775.3523924344707 0, 177.38644474887997 -137.23655523488833 0
-665.5306349306579 -1480.0524691401238 0, 1224.0568847764425 -775.3523924344707 0, 177.38644474887997 -137.23655523488833 0
-665.5306349306579 -1480.0524691401238 0, 1224.0568847764425 -775.3523924344707 0, 177.38644474887997 -137.23655523488833 0
-665.5306349306579 -1480.0524691401238 0, 1224.0568847764425 -775.3523924344707 0, 177.38644474887997 -137.23655523488833 0
-665.5306349306579 -1480.0524691401238 0, 1224.0568847764425 -775.3523924344707 0, 177.38644474887997 -137.23655523488833 0
-665.5306349306579 -1480.0524691401238 0, 1224.0568847764425 -775.3523924344707 0, 177.38644474887997 -137.23655523488833 0
-665.5306349306579 -1480.0524691401238 0, 1224.0568847764425 -775.3523924344707 0, 177.38644474887997 -137.23655523488833 0
-665.5306349306579 -1480.0524691401238 0, 1224.0568847764425 -775.3523924344707 0, 177.38644474887997 -137.23655523488833 0
-665.5306349306579 -1480.0524691401238 0, 1224.0568847764425 -775.3523924344707 0, 177.38644474887997 -137.23655523488833 0
